Handle,Title,"Body (HTML)",Vendor,"Standardized Product Type",Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Inventory Qty","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Image Src","Image Position",Status
march-hare-visit-either-you-like-theyre-both,"March Hare. Visit either you like: they're both.","Sed odit ratione est possimus iste quidem rerum et. Voluptas quas sequi explicabo voluptas earum debitis. In ipsa perspiciatis sunt. Magni neque ducimus qui quia.",doloremque,Electronics,1,Color,Small,Size,Yellow,Material,Plastic,15,manual,450,450,https://picsum.photos/300/300,1,active
lizard-who-seemed-to-think-that-there-was-the,"Lizard, who seemed to think that there was the.","Iure voluptatem reprehenderit itaque eum. Aut rerum voluptatem perferendis ut explicabo. Ut itaque in aut aliquam odit quo commodi.",quas,"Luggage & Bags",1,Color,Small,Size,Blue,Material,metal,15,manual,579,579,https://picsum.photos/300/300,1,active
she-was-close-behind-her-listening-so-she-went,"She was close behind her, listening: so she went.","Voluptates qui ea voluptatem aliquam recusandae rerum doloremque. Ad sunt cum porro ad temporibus et dolor. Nesciunt in eos maxime molestiae eos. Nihil omnis illo omnis qui recusandae commodi fugiat.",reiciendis,"Office Supplies",1,Color,"Extra Large",Size,Yellow,Material,Rubber,11,manual,560,560,https://picsum.photos/300/300,1,active
that-like-said-alice-well-i-cant-see-you,"THAT like?' said Alice. 'Well, I can't see you?'.","Eveniet deserunt unde perspiciatis. Rem sint qui qui enim. Dignissimos explicabo nulla ut fugit. Est laboriosam eaque tempore aut. Nulla iusto facilis aut fugiat placeat.",quae,"Luggage & Bags",1,Color,"Extra Large",Size,Pink,Material,metal,40,manual,264,264,https://picsum.photos/300/300,1,active
alice-in-a-melancholy-tone-nobody-seems-to,"Alice, in a melancholy tone. 'Nobody seems to.","Occaecati libero natus similique quod voluptatibus minus. Quia beatae suscipit inventore earum. Incidunt aspernatur aut similique alias. Sed illo error repellat.",minus,"Baby & Toddler",1,Color,Medium,Size,Red,Material,Rubber,38,manual,112,112,https://picsum.photos/300/300,1,active
she-generally-gave-herself-very-good-height,"She generally gave herself very good height.","Autem reprehenderit non molestias sed voluptatum omnis. Cupiditate vero quis assumenda voluptatem. Autem blanditiis omnis officia dignissimos.",et,"Apparel & Accessories",1,Color,"Extra Small",Size,Red,Material,metal,39,manual,373,373,https://picsum.photos/300/300,1,active
alice-had-not-gone-far-before-they-saw-her-they,"Alice had not gone far before they saw her, they.","Est et nulla velit sed numquam alias. Asperiores consectetur consequatur molestias eaque nihil quis.",porro,"Cameras & Optics",1,Color,"Extra Small",Size,Pink,Material,ceramic,25,manual,166,166,https://picsum.photos/300/300,1,active
voice-of-the-sluggard-said-the-gryphon-that,"VOICE OF THE SLUGGARD,""' said the Gryphon, 'that.","Dolorem deleniti totam in eum commodi molestiae. Sint omnis voluptatibus dicta aut molestiae libero. Minus sint alias aut odit dolorum facere sit.",sed,"Baby & Toddler",1,Color,Large,Size,Yellow,Material,Rubber,11,manual,438,438,https://picsum.photos/300/300,1,active
hatter-with-an-m-such-as-mouse-traps-and-the,"Hatter, with an M, such as mouse-traps, and the.","Voluptatem alias voluptatem ratione ipsa similique ut quis numquam. Nihil veniam molestiae aut voluptates. Minima impedit est illum hic velit. Temporibus recusandae non reprehenderit quos.",quia,"Luggage & Bags",1,Color,Large,Size,Blue,Material,ceramic,27,manual,199,199,https://picsum.photos/300/300,1,active
duchess-an-invitation-from-the-trees-under,"Duchess. An invitation from the trees under.","Omnis repudiandae labore enim sunt. Sit voluptas iure non ipsa distinctio blanditiis. Ut deleniti ut numquam consectetur blanditiis quo accusantium beatae. Et dignissimos accusamus ad quas.",labore,"Cameras & Optics",1,Color,Medium,Size,Red,Material,metal,20,manual,524,524,https://picsum.photos/300/300,1,active
